ISO,year,country.name,region,Subscriptors.per100,GPDperCapita,years.with.network
FIN,2011,Finland,Wester Europe,165.89090093975,35650.593,32
FRA,2011,France,Wester Europe,94.076774297777,34870.662,26
GAB,2011,Gabon,Sub-Saharan Africa,154.4864566808,17371.911,20
GMB,2011,Gambia,Sub-Saharan Africa,80.760256973336,1791.898,20
GEO,2011,Georgia,Former Soviet Republics,101.28292411046,5445.26,17
DEU,2011,Germany,Wester Europe,109.6595674824,38409.599,27
GHA,2011,Ghana,Sub-Saharan Africa,85.274943428281,3097.295,20
GRC,2011,Greece,Wester Europe,109.07877785569,25852.409,19
GRD,2011,Grenada,Caribbean,118.9637779089,13416.296,22
GTM,2011,Guatemala,Central America,132.45164850722,5042.159,22
GIN,2011,Guinea,Sub-Saharan Africa,40.317053307208,1075.08,19
GNB,2011,Guinea-Bissau,Sub-Saharan Africa,56.178586364726,1231.613,9
GUY,2011,Guyana,South America,66.8566233648,7333.174,20
HTI,2011,Haiti,Caribbean,41.862423331962,1220.32,14
HND,2011,Honduras,Central America,103.67200918542,4580.514,16
HKG,2011,Hong Kong,East Asia,215.50380977062,49732.419,28
HUN,2011,Hungary,Wester Europe,116.94349277983,19329.028,22
ISL,2011,Iceland,Wester Europe,106.07924381717,38464.088,26
IND,2011,India,South Asia,71.999054911318,3708.253,17
IDN,2011,Indonesia,East Asia,102.46264956406,4620.044,28
IRN,2011,Iran,Middle East and North Africa,74.925208157976,13126.416,18
IRQ,2011,Iraq,Middle East and North Africa,80.15512760854,6628.508,10
IRL,2011,Ireland,Wester Europe,108.40845445735,40045.77,27
ISR,2011,Israel,Middle East and North Africa,121.97827010152,32924.997,22
ITA,2011,Italy,Wester Europe,158.14588295379,30770.031,27
CIV,2011,Cote d'Ivoire,Sub-Saharan Africa,89.449629431818,1574.208,16
JAM,2011,Jamaica,Caribbean,108.12140416454,8850.284,21
JPN,2011,Japan,East Asia,104.95179495654,34531.974,31
JOR,2011,Jordan,Middle East and North Africa,118.20475883029,5845.658,22
KAZ,2011,Kazakhstan,Former Soviet Republics,156.79465235366,12887.1,18
KEN,2011,Kenya,Sub-Saharan Africa,67.486072007008,1677.375,20
KIR,2011,Kiribati,Australia and Oceania,13.638926532994,6085.314,14
KWT,2011,Kuwait,Middle East and North Africa,157.9080265177,37934.703,26
KGZ,2011,Kyrgyz Republic,Former Soviet Republics,116.16918843421,2353.844,14
LAO,2011,Lao People's Democratic Republic,East Asia,87.163148053995,2642.869,20
LVA,2011,Latvia,Former Soviet Republics,111.363784343,16581.757,20
LBN,2011,Lebanon,Middle East and North Africa,77.190016759321,14290.908,17
LSO,2011,Lesotho,Sub-Saharan Africa,56.173299547871,1956.864,16
LBR,2011,Liberia,Sub-Saharan Africa,49.75678340818,612.327,12
LBY,2011,Libyan Arab Jamahiriya,Middle East and North Africa,163.84758700839,6188.373,15
LTU,2011,Lithuania,Former Soviet Republics,151.29792128813,20195.357,20
LUX,2011,Luxembourg,Wester Europe,148.15066583002,78079.911,27
MKD,2011,Macedonia,Eastern Europe,105.19670705218,10325.209,16
MDG,2011,Madagascar,Sub-Saharan Africa,40.725859817449,940.957,18
MWI,2011,Malawi,Sub-Saharan Africa,25.56405676948,841.999,17
MYS,2011,Malaysia,East Asia,127.4778010115,15889.671,26
MDV,2011,Maldives,South Asia,165.72336377355,8773.39,16
MLI,2011,Mali,Sub-Saharan Africa,75.065044191345,1116.351,16
MLT,2011,Malta,Middle East and North Africa,124.86340955595,26172.34,21
MRT,2011,Mauritania,Sub-Saharan Africa,93.596768637372,1973.757,12
MUS,2011,Mauritius,Sub-Saharan Africa,99.043849155782,14753.851,22
MEX,2011,Mexico,North America,79.241182939188,14684.412,24
MDA,2011,Moldova,Former Soviet Republics,101.20080770376,3346.799,17
MNG,2011,Mongolia,East Asia,106.82969230004,4720.96,16
MNE,2011,Montenegro,Eastern Europe,184.96916106496,11495.469,8
MAR,2011,Morocco,Middle East and North Africa,114.0193379644,5022.04,25
MOZ,2011,Mozambique,Sub-Saharan Africa,31.956501849551,965.343,15
MMR,2011,Myanmar,East Asia,2.3755508587334,1519.379,19
NAM,2011,Namibia,Sub-Saharan Africa,98.957304639483,7360.152,17
NPL,2011,Nepal,South Asia,49.176228175146,1381.54,13
NLD,2011,Netherlands,Wester Europe,118.98956635763,41480.686,27
NZL,2011,New Zealand,Australia and Oceania,109.19991128074,28551.669,25
NIC,2011,Nicaragua,Central America,82.174614415781,4109.474,19
NER,2011,Niger,Sub-Saharan Africa,29.515718283298,741.815,15
